date,raw,baseline,robust_z,stat_outlier,april_capped,event_capped,clean
2026-02-28,10.0,4.0,3.58,False,False,False,10.0
2026-03-01,9.0,8.0,0.38,False,False,False,9.0
2026-03-02,8.0,15.0,-2.59,False,False,False,8.0
2026-03-03,12.0,12.0,0.27,False,False,False,12.0
2026-03-04,12.0,9.0,1.53,False,False,False,12.0
2026-03-05,10.0,10.0,0.19,False,False,False,10.0
2026-03-06,9.0,8.0,0.81,False,False,False,9.0
2026-03-07,3.0,4.0,-0.92,False,False,False,3.0
2026-03-08,9.0,8.0,0.53,False,False,False,9.0
2026-03-09,12.0,13.0,-0.26,False,False,False,12.0
2026-03-10,12.0,12.0,0.29,False,False,False,12.0
2026-03-11,6.0,7.0,-0.3,False,False,False,6.0
2026-03-12,3.0,7.0,-3.6,False,False,False,3.0
2026-03-13,13.0,6.0,3.52,False,False,False,13.0
2026-03-14,3.0,3.0,0.49,False,False,False,3.0
2026-03-15,6.0,6.0,-0.1,False,False,False,6.0
2026-03-16,12.0,10.0,0.92,False,False,False,12.0
2026-03-17,11.0,10.0,0.68,False,False,False,11.0
2026-03-18,4.0,5.0,-0.76,False,False,False,4.0
2026-03-19,11.0,5.0,3.59,False,False,False,11.0
2026-03-20,4.0,4.0,-0.22,False,False,False,4.0
2026-03-21,2.0,3.0,-1.07,False,False,False,2.0
2026-03-22,4.0,5.0,-0.76,False,False,False,4.0
2026-03-23,7.0,8.0,-0.29,False,False,False,7.0
2026-03-24,10.0,8.0,1.04,False,False,False,10.0
2026-03-25,6.0,5.0,0.59,False,False,False,6.0
2026-03-26,5.0,5.0,-0.06,False,False,False,5.0
2026-03-27,5.0,6.0,-0.34,False,False,False,5.0
2026-03-28,10.0,5.0,3.48,False,False,False,10.0
2026-03-29,8.0,7.0,0.61,False,False,False,8.0
2026-03-30,11.0,10.0,0.54,False,False,False,11.0
2026-03-31,8.0,10.0,-0.99,False,False,False,8.0
2026-04-01,11.0,8.0,1.28,False,False,False,11.0
2026-04-02,8.0,8.0,-0.0,False,False,False,8.0
2026-04-03,6.0,8.0,-1.31,False,False,False,6.0
2026-04-04,5.0,8.0,-1.84,False,False,False,5.0
2026-04-05,3.0,10.0,-5.02,False,False,False,3.0
2026-04-06,9.0,12.0,-0.96,False,False,False,9.0
2026-04-07,6.0,11.0,-2.58,False,False,False,6.0
2026-04-08,7.0,11.0,-1.75,False,False,False,7.0
2026-04-09,10.0,11.0,-0.24,False,False,False,10.0
2026-04-10,15.0,11.0,1.36,False,False,False,15.0
2026-04-11,6.0,12.0,-2.88,False,False,False,6.0
2026-04-12,31.0,13.0,3.99,False,True,False,17.0
2026-04-13,18.0,14.0,1.35,False,False,False,18.0
2026-04-14,7.0,14.0,-2.73,False,False,False,7.0
2026-04-15,13.0,14.0,-0.22,False,False,False,13.0
2026-04-16,11.0,15.0,-1.1,False,False,False,11.0
2026-04-17,26.0,15.0,2.45,False,True,False,21.0
2026-04-18,13.0,16.0,-0.72,False,False,False,13.0
2026-04-19,12.0,16.0,-1.22,False,False,False,12.0
2026-04-20,3.0,17.0,-7.42,False,False,False,3.0
2026-04-21,12.0,18.0,-1.73,False,False,False,12.0
2026-04-22,28.0,19.0,1.81,False,True,False,26.0
2026-04-23,10.0,19.0,-2.55,False,False,False,10.0
2026-04-24,8.0,20.0,-3.79,False,False,False,8.0
2026-04-25,10.0,19.0,-2.6,False,False,False,10.0
2026-04-26,11.0,21.0,-2.7,False,False,False,11.0
2026-04-27,13.0,23.0,-2.34,False,False,False,13.0
2026-04-28,17.0,27.0,-1.81,False,False,False,17.0
2026-04-29,19.0,26.0,-1.2,False,False,False,19.0
2026-04-30,21.0,22.0,-0.15,False,False,False,21.0
2026-05-01,26.0,26.0,0.13,False,False,False,26.0
2026-05-02,9.0,23.0,-3.87,False,False,False,9.0
2026-05-03,28.0,27.0,0.23,False,False,False,28.0
2026-05-04,32.0,32.0,0.18,False,False,False,32.0
2026-05-05,43.0,37.0,0.78,False,False,False,43.0
2026-05-06,39.0,33.0,0.8,False,False,False,39.0
2026-05-07,21.0,26.0,-0.76,False,False,False,21.0
2026-05-08,30.0,27.0,0.6,False,False,False,30.0
2026-05-09,19.0,22.0,-0.48,False,False,False,19.0
2026-05-10,10.0,26.0,-3.97,False,False,False,10.0
2026-05-11,32.0,32.0,0.09,False,False,False,32.0
2026-05-12,47.0,34.0,1.49,False,False,False,47.0
2026-05-13,30.0,33.0,-0.24,False,False,False,30.0
2026-05-14,21.0,25.0,-0.63,False,False,False,21.0
2026-05-15,24.0,21.0,0.62,False,False,False,24.0
2026-05-16,20.0,20.0,0.12,False,False,False,20.0
2026-05-17,15.0,25.0,-2.12,False,False,False,15.0
2026-05-18,14.0,35.0,-3.8,False,False,False,14.0
2026-05-19,32.0,37.0,-0.45,False,False,False,32.0
2026-05-20,21.0,38.0,-2.48,False,False,False,21.0
2026-05-21,39.0,33.0,0.9,False,False,False,39.0
2026-05-22,19.0,20.0,-0.05,False,False,False,19.0
2026-05-23,28.0,25.0,0.61,False,False,False,28.0
2026-05-24,28.0,28.0,0.2,False,False,False,28.0
2026-05-25,44.0,39.0,0.61,False,False,False,44.0
2026-05-26,30.0,38.0,-0.94,False,False,False,30.0
2026-05-27,42.0,40.0,0.37,False,False,False,42.0
2026-05-28,37.0,35.0,0.41,False,False,False,37.0
2026-05-29,41.0,13.0,4.93,True,False,False,13.0
2026-05-30,16.0,23.0,-1.48,False,False,False,16.0
2026-05-31,27.0,26.0,0.29,False,False,False,27.0
2026-06-01,29.0,33.0,-0.42,False,False,False,29.0
2026-06-02,39.0,36.0,0.48,False,False,False,39.0
2026-06-03,36.0,38.0,-0.14,False,False,False,36.0
2026-06-04,35.0,32.0,0.51,False,False,False,35.0
2026-06-05,10.0,12.0,-0.75,False,False,False,10.0
2026-06-06,26.0,27.0,0.01,False,False,False,26.0
2026-06-07,14.0,29.0,-3.08,False,False,False,14.0
2026-06-08,39.0,30.0,1.3,False,False,False,39.0
2026-06-09,48.0,39.0,1.06,False,False,False,48.0
2026-06-10,23.0,41.0,-2.41,False,False,False,23.0
2026-06-11,22.0,31.0,-1.29,False,False,False,22.0
2026-06-12,16.0,10.0,2.24,False,False,False,16.0
2026-06-13,24.0,26.0,-0.27,False,False,False,24.0
2026-06-14,25.0,27.0,-0.26,False,False,False,25.0
2026-06-15,22.0,23.0,-0.12,False,False,False,22.0
2026-06-16,37.0,40.0,-0.16,False,False,False,37.0
2026-06-17,47.0,47.0,0.14,False,False,False,47.0
2026-06-18,35.0,34.0,0.31,False,False,False,35.0
2026-06-19,11.0,11.0,0.27,False,False,False,11.0
2026-06-20,44.0,41.0,0.46,False,False,False,44.0
2026-06-21,45.0,44.0,0.27,False,False,False,45.0
2026-06-22,30.0,31.0,-0.03,False,False,False,30.0
2026-06-23,59.0,63.0,-0.15,False,False,False,59.0
